OntoClass,OntoProperty,AntMin,AntMax,DataMin,DataMax,Mean,Mode,Quad. Mean,Kurtosis,Std. Deviation,Skewness,Variance,98P,2P,75P,25P,"Dist, Card.",Dist. Mean.,Dist. Quad. Mean.,Dist. Kur.,Dist. Std. Devi.,Dist. Skew.,Dist. Vari.,P. Min.,P. Max.,P. Mode.,P. 0,P.1,P. Mean,P. Quad. Mean.,P. Kurtosis.,P. Std. Dev.,P. Skew.,P. Vari.
dbo:Award,dbo:wikiPageWikiLink,M0,ANY,0,962,55.72344,1,101.68393,26.62126,85.0713,4.21839,7237.12594,304,0,68,9,289,188.79931,253.91598,4.14398,170.08305,1.84294,28928.24431,0.00036,0.12063,0.12063,0.03385,0.12063,0.00346,0.00892,143.54748,0.00823,10.48625,0.00007
dbo:Award,owl:sameAs,M0,ANY,0,121,5.57148,0,12.26158,17.32523,10.92465,3.45597,119.348,39,0,6,0,73,39.64384,47.37897,0.28728,26.12437,0.68499,682.4825,0.00036,0.51422,0.51422,0.51422,0.08606,0.0137,0.06224,64.76636,0.06113,7.87485,0.00374
dbo:Award,rdf:type,M1,ANY,1,4,2.61613,3,2.79622,-0.76255,0.98746,-0.66261,0.97507,4,1,3,2,4,2.5,2.73861,-1.2,1.29099,0,1.66667,0.03673,0.59417,0.59417,0,0.23875,0.25,0.32725,1.87271,0.24384,1.34967,0.05946
dbo:Award,dbp:wikiPageUsesTemplate,M0,ANY,0,86,1.74469,0,4.5508,95.55153,4.20383,7.47864,17.67218,14,0,3,0,38,20.84211,26.81418,5.40444,17.09675,1.90162,292.29872,0.00036,0.62009,0.62009,0.62009,0.04105,0.02632,0.10363,33.87459,0.10158,5.70125,0.01032
dbo:Award,dbo:wikiPageExternalLink,M0,ANY,0,83,1.6435,1,4.10521,177.16018,3.76254,11.22356,14.15672,8,0,2,0,24,20.16667,29.68726,2.84537,22.25478,1.77358,495.27536,0.00036,0.38567,0.38567,0.29276,0.38567,0.04167,0.10612,7.04178,0.0997,2.76247,0.00994
dbo:Award,dc:subject,M0,ANY,0,12,1.59345,1,2.05865,1.95984,1.30367,1.00255,1.69957,5,0,2,1,9,4.44444,5.61743,1.3213,3.64387,1.01506,13.27778,0.00036,0.33994,0.33994,0.20454,0.33994,0.11111,0.16162,-0.61502,0.12448,0.8257,0.0155
dbo:Award,rdfs:label,M1,M1,0,1,0.96615,1,0.98293,24.62406,0.18087,-5.15813,0.03272,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.03385,0.96615,0.96615,0.03385,0.96615,0.5,0.68359,0,0.65924,0,0.43459
dbo:Award,rdfs:comment,M0,M1,0,1,0.84228,1,0.91776,1.53236,0.36455,-1.87916,0.1329,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.15772,0.84228,0.84228,0.15772,0.84228,0.5,0.60593,0,0.48405,0,0.23431
dbo:Award,dbo:abstract,M0,M1,0,1,0.84228,1,0.91776,1.53236,0.36455,-1.87916,0.1329,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.15772,0.84228,0.84228,0.15772,0.84228,0.5,0.60593,0,0.48405,0,0.23431
dbo:Award,foaf:name,M0,ANY,0,3,0.73281,1,0.88133,-0.15451,0.48971,-0.42168,0.23982,1.44,0,1,0,4,1.5,1.87083,-1.2,1.29099,0,1.66667,0.00108,0.69211,0.69211,0.28808,0.69211,0.25,0.37495,0.30797,0.32268,1.16435,0.10412
