"AntMin","DataMin","DataMax","Mean","Mode","Quad..Mean","Kurtosis","Std..Deviation","Skewness","Variance","X98P","X2P","X75P","X25P","Dist..Card.","Dist..Mean.","Dist..Quad..Mean.","Dist..Kur.","Dist..Std..Devi.","Dist..Skew.","Dist..Vari.","P..Min.","P..Max.","P..Mode.","P..0","P.1","P..Mean","P..Quad..Mean.","P..Kurtosis.","P..Std..Dev.","P..Skew.","P..Vari."
"M0",0,33,1.45893,1,1.82835,10.347,1.10199,1.66666,1.21438,4,0,2,1,20,11.15,14.11205,0.62082,8.87501,1.01604,78.76579,0,0.4832,0.4832,0.1395,0.4832,0.05,0.12586,9.80355,0.1185,3.02811,0.01404
"M0",0,432,0.87175,0,9.16794,654.47778,9.12644,22.94299,83.29192,7,0,0,0,212,131.4434,163.27006,-0.28124,97.07832,0.72053,9424.20057,1e-05,0.92643,0.92643,0.92643,0.00209,0.00472,0.06366,211.63388,0.06363,14.54168,0.00405
"M0",0,1,0.34237,0,0.58512,-1.5586,0.47451,0.66443,0.22516,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.34237,0.65763,0.65763,0.65763,0.34237,0.5,0.52426,0,0.22292,0,0.0497
"M0",0,5,0.35048,0,0.59342,-1.48719,0.47886,0.65192,0.22931,1,0,1,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,0,0.65033,0.65033,0.65033,0.3489,0.16667,0.30129,0.96389,0.27495,1.45396,0.0756
"M0",0,129,5.51347,4,6.94421,85.70132,4.22196,5.08537,17.82493,17,1,7,3,48,27.60417,36.73185,7.12161,24.48946,2.27115,599.7336,7e-05,0.1579,0.1579,0.01478,0.0499,0.02083,0.04634,4.07413,0.04183,2.26212,0.00175
"M0",0,1,0.37204,0,0.60995,-1.71968,0.48335,0.52945,0.23363,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.37204,0.62796,0.62796,0.62796,0.37204,0.5,0.51611,0,0.18096,0,0.03275
"M0",0,4,0.45959,0,0.68039,-1.85159,0.5017,0.2022,0.2517,1,0,1,0,5,2,2.44949,-1.2,1.58114,0,2.5,0,0.54207,0.54207,0.54207,0.45628,0.2,0.31687,-3.01158,0.27479,0.66379,0.07551
"M0",0,3,0.23984,0,0.48976,-0.51223,0.42701,1.21904,0.18234,1,0,0,0,4,1.5,1.87083,-1.2,1.29099,0,1.66667,0,0.76017,0.76017,0.76017,0.23982,0.25,0.39855,1.76224,0.35841,1.47022,0.12846
"M0",0,5,0.36794,0,0.77397,3.44402,0.68092,1.93629,0.46365,2,0,1,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,4e-05,0.72996,0.72996,0.72996,0.18885,0.16667,0.30903,4.65008,0.28507,2.13693,0.08127
"M0",0,13,0.49005,0,0.8086,8.80902,0.64319,1.71982,0.41369,2,0,1,0,13,6.07692,7.20577,-0.98902,4.03033,0.12337,16.24359,1e-05,0.57212,0.57212,0.57212,0.37863,0.07692,0.19061,4.80405,0.18152,2.37839,0.03295
"M0",0,1,0.51634,1,0.71857,-1.99776,0.49986,-0.06546,0.24986,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.48366,0.51634,0.51634,0.48366,0.51634,0.5,0.50027,0,0.02311,0,0.00053
"M0",0,369,0.20437,0,1.19093,8892.58838,1.17327,51.52504,1.37656,4,0,0,0,101,65.92079,86.08883,7.48499,55.64525,1.95987,3096.39366,0,0.93343,0.93343,0.93343,0.01997,0.0099,0.09292,100.81171,0.09286,10.0361,0.00862
"M0",0,21,0.82672,1,1.01816,26.83741,0.59429,1.64118,0.35318,2,0,1,0,15,8,10.01332,0.11494,6.23355,0.84521,38.85714,1e-05,0.67933,0.67933,0.2539,0.67933,0.06667,0.18785,10.55428,0.18179,3.19772,0.03305
"M0",0,13,0.38324,0,0.94428,25.10621,0.86304,4.09652,0.74485,3,0,1,0,13,6.15385,7.3275,-1.0079,4.14017,0.17072,17.14103,7e-05,0.73517,0.73517,0.73517,0.21298,0.07692,0.21241,10.4751,0.20608,3.19014,0.04247
