"Class","DataMin","DataMax","Mean","Mode","Quad..Mean","Kurtosis","Std..Deviation","Skewness","Variance","X98P","X2P","X75P","X25P","Dist..Card.","Dist..Mean.","Dist..Quad..Mean.","Dist..Kur.","Dist..Std..Devi.","Dist..Skew.","Dist..Vari.","P..Min.","P..Max.","P..Mode.","P..0","P.1","P..Mean","P..Quad..Mean.","P..Kurtosis.","P..Std..Dev.","P..Skew.","P..Vari."
"M1",0,1,0.96027,1,0.97993,20.21106,0.19533,-4.71284,0.03815,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.03973,0.96027,0.96027,0.03973,0.96027,0.5,0.67959,0,0.65092,0,0.42369
"M1",0,233,0.35287,0,2.14054,1802.55843,2.11127,25.2594,4.45744,6,0,0,0,58,37.36207,52.67712,12.29209,37.45861,2.86671,1403.14731,1e-05,0.92454,0.92454,0.92454,0.02666,0.01724,0.12147,57.87605,0.12129,7.60395,0.01471
"M1",0,1,0.90261,1,0.95006,5.37838,0.29649,-2.71618,0.08791,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.09739,0.90261,0.90261,0.09739,0.90261,0.5,0.64195,0,0.56938,0,0.32419
"M1",0,2,0.36497,0,0.60416,-1.68328,0.48147,0.5615,0.23181,1,0,1,0,3,1,1.29099,0,1,0,1,2e-05,0.63505,0.63505,0.63505,0.36493,0.33333,0.42287,0,0.31869,-0.44179,0.10156
"M1",0,1,0.98519,1,0.99257,62.69532,0.12083,-8.03936,0.0146,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.01481,0.98519,0.98519,0.01481,0.98519,0.5,0.69671,0,0.68616,0,0.47082
"M1",0,1,0.77905,1,0.88264,-0.19053,0.41489,-1.34517,0.17213,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.22095,0.77905,0.77905,0.22095,0.77905,0.5,0.5726,0,0.39463,0,0.15573
"M1",0,1,0.9811,1,0.99051,48.06389,0.1362,-7.07211,0.01855,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.0189,0.9811,0.9811,0.0189,0.9811,0.5,0.69387,0,0.68038,0,0.46292
"M1",0,1,0.8059,1,0.89772,0.39284,0.39551,-1.54688,0.15643,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.1941,0.8059,0.8059,0.1941,0.8059,0.5,0.58615,0,0.4326,0,0.18715
"M1",0,1,0.61142,1,0.78193,-1.79106,0.48743,-0.45717,0.23759,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.38858,0.61142,0.61142,0.38858,0.61142,0.5,0.51226,0,0.15757,0,0.02483
"M1",0,1,0.96027,1,0.97993,20.21106,0.19533,-4.71284,0.03815,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.03973,0.96027,0.96027,0.03973,0.96027,0.5,0.67959,0,0.65092,0,0.42369
"M1",0,1,0.99026,1,0.99512,97.6404,0.09823,-9.98194,0.00965,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.00974,0.99026,0.99026,0.00974,0.99026,0.5,0.70025,0,0.69333,0,0.4807
"M1",0,149,0.44299,0,2.49105,458.46816,2.45137,15.21118,6.00922,5,0,0,0,53,30.26415,39.66891,7.56473,25.89116,2.17899,670.35196,2e-05,0.86449,0.86449,0.86449,0.07777,0.01887,0.11928,52.03359,0.1189,7.18729,0.01414
"M1",0,11,0.58279,1,0.78634,2.94188,0.5279,0.32441,0.27868,1,0,1,0,11,5.27273,6.33891,-1.17353,3.69028,0.18813,13.61818,1e-05,0.5574,0.5574,0.43106,0.5574,0.09091,0.21248,2.66441,0.20142,2.00975,0.04057
"M1",0,1,0.61142,1,0.78193,-1.79106,0.48743,-0.45717,0.23759,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.38858,0.61142,0.61142,0.38858,0.61142,0.5,0.51226,0,0.15757,0,0.02483
"M1",0,11,0.49141,0,0.85949,9.71648,0.70516,2.12091,0.49726,2,0,1,0,12,5.5,6.49359,-1.2,3.60555,0,13,2e-05,0.59563,0.59563,0.59563,0.34023,0.08333,0.19855,5.21021,0.18823,2.39539,0.03543
"M1",0,1,0.95939,1,0.97948,19.6646,0.1974,-4.6545,0.03897,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.04061,0.95939,0.95939,0.04061,0.95939,0.5,0.679,0,0.64967,0,0.42207
"M1",0,13,0.27698,0,0.58377,50.60658,0.51389,3.96816,0.26409,1,0,1,0,10,4.9,6.10737,0.97575,3.84274,0.88819,14.76667,7e-05,0.73511,0.73511,0.73511,0.25992,0.1,0.24657,6.90688,0.23757,2.61464,0.05644
"M1",0,4,0.42016,0,0.64839,-1.88233,0.49384,0.32686,0.24387,1,0,1,0,5,2,2.44949,-1.2,1.58114,0,2.5,0,0.57995,0.57995,0.57995,0.41993,0.2,0.32022,-2.27717,0.27959,0.79122,0.07817
"M1",0,1,0.98814,1,0.99405,79.34516,0.10825,-9.01915,0.01172,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.01186,0.98814,0.98814,0.01186,0.98814,0.5,0.69877,0,0.69034,0,0.47657
"M1",0,1,0.98037,1,0.99014,45.95844,0.13873,-6.92516,0.01925,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.01963,0.98037,0.98037,0.01963,0.98037,0.5,0.69336,0,0.67934,0,0.46151
"M1",0,2,0.77905,1,0.88264,-0.19048,0.41489,-1.34513,0.17213,1,0,1,1,3,1,1.29099,0,1,0,1,0,0.77905,0.77905,0.22095,0.77905,0.33333,0.46752,0,0.4015,1.16088,0.1612
"M1",0,15,0.72715,0,1.22403,6.12203,0.98463,1.85529,0.9695,3,0,1,0,16,7.5,8.80341,-1.2,4.76095,0,22.66667,1e-05,0.53213,0.53213,0.53213,0.29035,0.0625,0.15494,7.45929,0.14642,2.7392,0.02144
"M1",0,1,0.92236,1,0.9604,7.96482,0.26761,-3.15667,0.07161,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.07764,0.92236,0.92236,0.07764,0.92236,0.5,0.65451,0,0.59731,0,0.35677
"M1",0,1,0.36495,0,0.60411,-1.68525,0.48142,0.56105,0.23176,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.36495,0.63505,0.63505,0.63505,0.36495,0.5,0.51792,0,0.19099,0,0.03648
"M1",0,1,0.77905,1,0.88264,-0.19053,0.41489,-1.34517,0.17213,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.22095,0.77905,0.77905,0.22095,0.77905,0.5,0.5726,0,0.39463,0,0.15573
"M1",0,1,0.9811,1,0.99051,48.06389,0.1362,-7.07211,0.01855,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.0189,0.9811,0.9811,0.0189,0.9811,0.5,0.69387,0,0.68038,0,0.46292
"M1",0,1,0.98519,1,0.99257,62.69532,0.12083,-8.03936,0.0146,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.01481,0.98519,0.98519,0.01481,0.98519,0.5,0.69671,0,0.68616,0,0.47082
"M1",0,1,0.76407,1,0.87411,-0.45262,0.42458,-1.24394,0.18027,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.23593,0.76407,0.76407,0.23593,0.76407,0.5,0.56545,0,0.37346,0,0.13947
"M1",0,5,0.31633,0,0.56248,-1.36268,0.46511,0.79147,0.21632,1,0,1,0,4,2,2.73861,1.5,2.16025,1.19034,4.66667,0,0.6837,0.6837,0.6837,0.31628,0.25,0.37666,-0.63887,0.32531,0.98028,0.10583
"M1",0,66,0.95885,0,1.74227,142.56351,1.45469,7.30738,2.11614,4,0,1,0,45,23.33333,27.84082,-0.19142,15.35933,0.49145,235.90909,1e-05,0.46264,0.46264,0.46264,0.29674,0.02222,0.08541,20.2472,0.0834,4.42147,0.00696
"M1",0,1,0.99443,1,0.99721,174.45013,0.07446,-13.28257,0.00554,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.00557,0.99443,0.99443,0.00557,0.99443,0.5,0.70318,0,0.69922,0,0.48891
"M1",0,1,0.89229,1,0.94461,4.40484,0.31002,-2.53078,0.09611,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.10771,0.89229,0.89229,0.10771,0.89229,0.5,0.63552,0,0.55478,0,0.30778
"M1",0,1,0.99026,1,0.99512,97.6404,0.09823,-9.98194,0.00965,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.00974,0.99026,0.99026,0.00974,0.99026,0.5,0.70025,0,0.69333,0,0.4807
"M1",0,1,0.99443,1,0.99721,174.45013,0.07446,-13.28257,0.00554,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.00557,0.99443,0.99443,0.00557,0.99443,0.5,0.70318,0,0.69922,0,0.48891
"M1",0,9,0.6585,1,0.82657,0.19951,0.4996,-0.24178,0.2496,1,0,1,0,9,4.11111,4.95536,-0.76046,2.93447,0.24184,8.61111,0,0.63879,0.63879,0.35202,0.63879,0.11111,0.24314,3.35473,0.22938,2.01908,0.05262
"M1",0,9,0.37979,0,0.62453,1.46001,0.49578,0.78223,0.2458,1,0,1,0,9,4.11111,4.95536,-0.76046,2.93447,0.24184,8.61111,2e-05,0.62374,0.62374,0.62374,0.37353,0.11111,0.24234,2.79131,0.22844,1.93171,0.05218
"M1",0,1,0.15015,0,0.3875,1.84432,0.35731,1.96021,0.12767,1,0,0,0,2,0.5,0.70711,0,0.70711,0,0.5,0.15015,0.84985,0.84985,0.84985,0.15015,0.5,0.61024,0,0.49476,0,0.24479
"M1",0,4,0.33198,0,0.66783,1.38396,0.57947,1.55813,0.33578,2,0,1,0,5,2,2.44949,-1.2,1.58114,0,2.5,0,0.725,0.725,0.725,0.21805,0.2,0.33953,3.23446,0.30676,1.81556,0.0941
"M1",0,6,0.38145,0,0.89927,4.18893,0.81437,2.1902,0.66319,3,0,0,0,7,3,3.60555,-1.2,2.16025,0,4.66667,6e-05,0.78343,0.78343,0.78343,0.09439,0.14286,0.30023,6.56942,0.28522,2.54161,0.08135
"M1",0,1,0.78756,1,0.88745,-0.02298,0.40904,-1.40606,0.16731,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.21244,0.78756,0.78756,0.21244,0.78756,0.5,0.57679,0,0.40667,0,0.16538
"M1",0,1,0.99026,1,0.99512,97.6404,0.09823,-9.98194,0.00965,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.00974,0.99026,0.99026,0.00974,0.99026,0.5,0.70025,0,0.69333,0,0.4807
"M1",0,1,0.36495,0,0.60411,-1.68525,0.48142,0.56105,0.23176,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.36495,0.63505,0.63505,0.63505,0.36495,0.5,0.51792,0,0.19099,0,0.03648
"M1",0,1,0.99443,1,0.99721,174.45013,0.07446,-13.28257,0.00554,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.00557,0.99443,0.99443,0.00557,0.99443,0.5,0.70318,0,0.69922,0,0.48891
"M1",0,1,0.93127,1,0.96502,9.62469,0.253,-3.40944,0.06401,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.06873,0.93127,0.93127,0.06873,0.93127,0.5,0.6603,0,0.60991,0,0.37199
"M1",0,6,0.59103,1,0.78111,-0.45096,0.51071,-0.04601,0.26083,1,0,1,0,7,3,3.60555,-1.2,2.16025,0,4.66667,2e-05,0.57711,0.57711,0.41666,0.57711,0.14286,0.26904,0.08199,0.24625,1.37838,0.06064
"M1",0,66,0.95885,0,1.74227,142.56351,1.45469,7.30738,2.11614,4,0,1,0,45,23.33333,27.84082,-0.19142,15.35933,0.49145,235.90909,1e-05,0.46264,0.46264,0.46264,0.29674,0.02222,0.08541,20.2472,0.0834,4.42147,0.00696
"M1",0,1,0.99443,1,0.99721,174.45013,0.07446,-13.28257,0.00554,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.00557,0.99443,0.99443,0.00557,0.99443,0.5,0.70318,0,0.69922,0,0.48891
"M1",0,2,0.77905,1,0.88264,-0.19048,0.41489,-1.34513,0.17213,1,0,1,1,3,1,1.29099,0,1,0,1,0,0.77905,0.77905,0.22095,0.77905,0.33333,0.46752,0,0.4015,1.16088,0.1612
"M1",0,68,0.35123,0,1.76108,250.47745,1.72571,13.0572,2.97806,3,0,0,0,52,26.44231,31.28928,-0.49999,16.89113,0.38533,285.31033,1e-05,0.83558,0.83558,0.83558,0.13111,0.01923,0.1173,49.38771,0.11685,6.96808,0.01365
"M1",0,233,0.35287,0,2.14054,1802.55843,2.11127,25.2594,4.45744,6,0,0,0,58,37.36207,52.67712,12.29209,37.45861,2.86671,1403.14731,1e-05,0.92454,0.92454,0.92454,0.02666,0.01724,0.12147,57.87605,0.12129,7.60395,0.01471
"M1",0,1,0.37204,0,0.60995,-1.71968,0.48335,0.52945,0.23363,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.37204,0.62796,0.62796,0.62796,0.37204,0.5,0.51611,0,0.18096,0,0.03275
"M1",0,2,0.36497,0,0.60416,-1.68328,0.48147,0.5615,0.23181,1,0,1,0,3,1,1.29099,0,1,0,1,2e-05,0.63505,0.63505,0.63505,0.36493,0.33333,0.42287,0,0.31869,-0.44179,0.10156
"M1",0,1,0.15015,0,0.3875,1.84432,0.35731,1.96021,0.12767,1,0,0,0,2,0.5,0.70711,0,0.70711,0,0.5,0.15015,0.84985,0.84985,0.84985,0.15015,0.5,0.61024,0,0.49476,0,0.24479
"M1",0,5,0.35048,0,0.59342,-1.48719,0.47886,0.65192,0.22931,1,0,1,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,0,0.65033,0.65033,0.65033,0.3489,0.16667,0.30129,0.96389,0.27495,1.45396,0.0756
"M1",0,1,0.34237,0,0.58512,-1.5586,0.47451,0.66443,0.22516,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.34237,0.65763,0.65763,0.65763,0.34237,0.5,0.52426,0,0.22292,0,0.0497
"M1",0,11,0.15628,0,0.49615,155.71587,0.47102,8.51194,0.22186,1,0,0,0,6,3.66667,5.16398,2.4654,3.9833,1.53582,15.86667,0.00051,0.85904,0.85904,0.85904,0.13381,0.16667,0.35494,5.48298,0.34328,2.32814,0.11784
"M1",0,1,0.93776,1,0.96838,11.13501,0.24159,-3.62417,0.05836,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.06224,0.93776,0.93776,0.06224,0.93776,0.5,0.66456,0,0.61909,0,0.38327
"M1",0,5,0.33684,0,0.58884,-0.24916,0.48299,0.8854,0.23328,1,0,1,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,3e-05,0.66716,0.66716,0.66716,0.32958,0.16667,0.30379,1.5151,0.27823,1.55221,0.07741
