"Class","DataMin","DataMax","Mean","Mode","Quad..Mean","Kurtosis","Std..Deviation","Skewness","Variance","X98P","X2P","X75P","X25P","Dist..Card.","Dist..Mean.","Dist..Quad..Mean.","Dist..Kur.","Dist..Std..Devi.","Dist..Skew.","Dist..Vari.","P..Min.","P..Max.","P..Mode.","P..0","P.1","P..Mean","P..Quad..Mean.","P..Kurtosis.","P..Std..Dev.","P..Skew.","P..Vari."
"ANY",0,3401,72.94942,0,118.29491,82.5214,93.12492,5.39602,8672.25111,341,0,90,21,705,402.2922,517.1188,16.00558,325.15043,2.65682,105722.8037,2e-05,0.04626,0.04626,0.04626,0.00015,0.00142,0.0036,50.76977,0.00331,5.29376,1e-05
"ANY",1,49,10.02857,3,12.47574,-0.66912,7.42112,0.55422,55.07295,26,1,16,3,46,23.56522,27.10527,-1.14457,13.54113,0.03346,183.36232,2e-05,0.10658,0.10658,0,0.06946,0.02174,0.03452,2.0305,0.02712,1.52054,0.00074
"ANY",0,123,9.01964,3,15.38252,13.63086,12.46079,3.3042,155.27118,52,0,9,3,118,58.91525,68.38463,-1.14023,34.86766,0.05477,1215.75344,2e-05,0.31105,0.31105,0.04767,0.00657,0.00847,0.03361,65.61072,0.03267,7.5785,0.00107
"ANY",0,139,7.51428,2,10.80358,9.82263,7.76236,2.32791,60.25421,30,0,10,2,79,40.79747,48.84916,1.2736,27.03814,0.81626,731.06102,2e-05,0.12781,0.12781,0.05115,0.09777,0.01266,0.02908,8.38451,0.02635,2.85944,0.00069
"ANY",0,150,7.22585,3,10.16103,15.95541,7.14386,2.721,51.03478,28,0,9,3,78,41.94872,51.46943,1.76204,30.01597,1.10593,900.95837,2e-05,0.10276,0.10276,0.06355,0.07643,0.01282,0.02877,4.17999,0.02592,2.28916,0.00067
"ANY",0,331,4.37375,1,8.95056,288.70871,7.80923,11.51367,60.98415,24,0,5,1,122,73.16393,96.84067,4.86965,63.70572,1.95438,4058.41918,2e-05,0.32118,0.32118,0.02304,0.32118,0.0082,0.03724,50.58361,0.03648,6.72459,0.00133
"ANY",0,533,2.21443,0,5.74127,2329.75798,5.29708,29.91681,28.05911,13,0,3,0,91,57.57143,87.23248,30.26477,65.89961,4.62998,4342.75873,2e-05,0.35242,0.35242,0.35242,0.25232,0.01099,0.04905,35.39454,0.04807,5.77244,0.00231
"M1",0,1,0.95378,1,0.97662,16.68674,0.20996,-4.32274,0.04408,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.04622,0.95378,0.95378,0.04622,0.95378,0.5,0.67522,0,0.64174,0,0.41184
"M1",0,1,0.95378,1,0.97662,16.68674,0.20996,-4.32274,0.04408,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.04622,0.95378,0.95378,0.04622,0.95378,0.5,0.67522,0,0.64174,0,0.41184
"M1",0,1,0.95378,1,0.97662,16.68674,0.20996,-4.32274,0.04408,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.04622,0.95378,0.95378,0.04622,0.95378,0.5,0.67522,0,0.64174,0,0.41184
"M1",0,1,0.95378,1,0.97662,16.68674,0.20996,-4.32274,0.04408,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.04622,0.95378,0.95378,0.04622,0.95378,0.5,0.67522,0,0.64174,0,0.41184
"M1",0,1,0.95378,1,0.97662,16.68674,0.20996,-4.32274,0.04408,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.04622,0.95378,0.95378,0.04622,0.95378,0.5,0.67522,0,0.64174,0,0.41184
"M1",0,1,0.95378,1,0.97662,16.68674,0.20996,-4.32274,0.04408,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.04622,0.95378,0.95378,0.04622,0.95378,0.5,0.67522,0,0.64174,0,0.41184
"M1",0,1,0.95378,1,0.97662,16.68674,0.20996,-4.32274,0.04408,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.04622,0.95378,0.95378,0.04622,0.95378,0.5,0.67522,0,0.64174,0,0.41184
"M1",0,1,0.93127,1,0.96502,9.62469,0.253,-3.40944,0.06401,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.06873,0.93127,0.93127,0.06873,0.93127,0.5,0.6603,0,0.60991,0,0.37199
"M1",0,1,0.93127,1,0.96502,9.62469,0.253,-3.40944,0.06401,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.06873,0.93127,0.93127,0.06873,0.93127,0.5,0.6603,0,0.60991,0,0.37199
"M1",0,1,0.72187,1,0.84963,-1.01923,0.44808,-0.99036,0.20078,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.27813,0.72187,0.72187,0.27813,0.72187,0.5,0.54702,0,0.31377,0,0.09845
"ANY",0,23,0.7177,0,1.10221,12.97879,0.83654,1.54295,0.6998,3,0,1,0,12,6.83333,9.10128,3.40012,6.27887,1.6257,39.42424,2e-05,0.48379,0.48379,0.48379,0.34944,0.08333,0.17693,2.91332,0.16301,1.97607,0.02657
"M1",0,49,0.69072,1,1.22703,637.8368,1.01417,17.72359,1.02854,2,0,1,0,33,19.42424,24.00316,-0.59057,14.32007,0.64204,205.06439,2e-05,0.45436,0.45436,0.44064,0.45436,0.0303,0.11153,12.91935,0.109,3.72115,0.01188
"M1",0,149,0.44299,0,2.49105,458.46816,2.45137,15.21118,6.00922,5,0,0,0,53,30.26415,39.66891,7.56473,25.89116,2.17899,670.35196,2e-05,0.86449,0.86449,0.86449,0.07777,0.01887,0.11928,52.03359,0.1189,7.18729,0.01414
"M1",0,6,0.38145,0,0.89927,4.18893,0.81437,2.1902,0.66319,3,0,0,0,7,3,3.60555,-1.2,2.16025,0,4.66667,6e-05,0.78343,0.78343,0.78343,0.09439,0.14286,0.30023,6.56942,0.28522,2.54161,0.08135
"M1",0,5,0.35628,0,0.81849,4.95749,0.73689,2.27293,0.543,3,0,0,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,0.00021,0.76459,0.76459,0.76459,0.14705,0.16667,0.31896,5.28816,0.29791,2.27769,0.08875
"M1",0,1,0.34237,0,0.58512,-1.5586,0.47451,0.66443,0.22516,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.34237,0.65763,0.65763,0.65763,0.34237,0.5,0.52426,0,0.22292,0,0.0497
"M1",0,1,0.34237,0,0.58512,-1.5586,0.47451,0.66443,0.22516,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.34237,0.65763,0.65763,0.65763,0.34237,0.5,0.52426,0,0.22292,0,0.0497
"ANY",0,4,0.28316,0,0.75228,2.24515,0.69696,2.05813,0.48576,2,0,0,0,5,2,2.44949,-1.2,1.58114,0,2.5,2e-05,0.85813,0.85813,0.85813,0.00063,0.2,0.38893,4.4329,0.37294,2.09615,0.13908
"M1",0,2,0.27435,0,0.53142,-0.35021,0.45513,1.13909,0.20714,1,0,1,0,3,1,1.29099,0,1,0,1,0.00403,0.72968,0.72968,0.72968,0.2663,0.33333,0.44846,0,0.36744,0.79367,0.13501
"M1",0,17,0.26961,0,0.61142,55.85927,0.54878,4.18497,0.30115,2,0,0,0,14,7.21429,8.74643,-0.75681,5.13178,0.37371,26.33516,2e-05,0.76175,0.76175,0.76175,0.21437,0.07143,0.21157,11.44237,0.20666,3.33297,0.04271
"M1",0,8,0.25834,0,0.53002,3.30334,0.4628,1.57566,0.21418,1,0,0,0,7,3.28571,4.12311,0.38466,2.69037,0.72627,7.2381,2e-05,0.75177,0.75177,0.75177,0.23873,0.14286,0.29814,4.80126,0.28266,2.19681,0.0799
"ANY",0,13,0.2553,0,0.94694,28.13698,0.91188,4.82214,0.83153,4,0,0,0,14,6.5,7.64853,-1.2,4.1833,0,17.5,2e-05,0.88872,0.88872,0.88872,0.05155,0.07143,0.23805,13.87474,0.23565,3.71886,0.05553
"M1",0,5,0.25136,0,0.50486,0.46635,0.43784,1.26773,0.19171,1,0,1,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,2e-05,0.7498,0.7498,0.7498,0.24947,0.16667,0.3226,3.66697,0.30258,1.95364,0.09155
"ANY",0,34,0.24217,0,1.15986,96.90308,1.13431,7.61057,1.28667,4,0,0,0,24,12.58333,15.34872,0.09766,8.97783,0.70626,80.60145,2e-05,0.92877,0.92877,0.92877,0.01882,0.04167,0.18968,23.95943,0.18902,4.89306,0.03573
"ANY",0,15,0.22568,0,0.90644,31.51718,0.8779,5.07783,0.77072,4,0,0,0,15,7.06667,8.34266,-1.0431,4.58984,0.09377,21.06667,2e-05,0.91058,0.91058,0.91058,0.03136,0.06667,0.23537,14.9387,0.23366,3.86199,0.0546
"ANY",0,30,0.20864,0,0.80673,155.82721,0.77929,8.1621,0.60729,3,0,0,0,18,9.88889,12.46328,1.1129,7.80565,1.04546,60.9281,2e-05,0.89105,0.89105,0.89105,0.05742,0.05556,0.21059,17.7946,0.20901,4.20937,0.04369
"ANY",0,41,0.2078,0,1.06612,131.14365,1.04569,8.73676,1.09346,4,0,0,0,26,13.30769,16.19117,1.44851,9.4054,0.92029,88.46154,2e-05,0.92907,0.92907,0.92907,0.03082,0.03846,0.18233,25.92801,0.18176,5.089,0.03304
