"DataMin","DataMax","Class"
0,3401,"ANY"
1,49,"ANY"
0,123,"ANY"
0,139,"ANY"
0,150,"ANY"
0,331,"ANY"
0,533,"ANY"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,23,"ANY"
0,49,"M1"
0,149,"M1"
0,6,"M1"
0,5,"M1"
0,1,"M1"
0,1,"M1"
0,4,"ANY"
0,2,"M1"
0,17,"M1"
0,8,"M1"
0,13,"ANY"
0,5,"M1"
0,34,"ANY"
0,15,"ANY"
0,30,"ANY"
0,41,"ANY"
0,16,"ANY"
0,65,"M1"
0,2,"M1"
0,40,"M1"
0,63,"ANY"
0,2,"M1"
0,3729,"ANY"
1,63,"ANY"
0,241,"ANY"
0,254,"ANY"
0,127,"ANY"
0,511,"ANY"
0,1175,"ANY"
0,707,"ANY"
0,1176,"ANY"
0,15,"ANY"
0,2,"M1"
0,2,"M1"
0,2,"M1"
0,2,"M1"
0,2,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,33,"ANY"
0,34,"ANY"
0,25,"M1"
0,20,"ANY"
0,40,"M1"
0,28,"ANY"
0,8,"M1"
0,5,"M1"
0,4,"M1"
0,2,"M1"
0,4,"M1"
0,29,"M1"
0,32,"ANY"
0,5,"M1"
0,36,"ANY"
0,3,"M1"
0,1,"M1"
0,4,"M1"
0,4,"M1"
0,369,"ANY"
0,5857,"ANY"
1,53,"ANY"
0,128,"ANY"
0,194,"ANY"
0,89,"ANY"
0,648,"ANY"
0,9,"ANY"
0,44,"ANY"
0,887,"ANY"
0,98,"ANY"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,43,"ANY"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,9,"M1"
0,10,"M1"
0,9,"M1"
0,20,"M1"
0,300,"M1"
0,7,"M1"
0,1,"M1"
0,5,"ANY"
0,152,"M1"
0,1,"M1"
0,1,"M1"
0,9,"M1"
0,7,"M1"
0,5,"M1"
0,4,"M1"
0,4,"M1"
0,4,"M1"
0,5,"M1"
0,6,"M1"
0,1946,"ANY"
2,63,"ANY"
0,127,"ANY"
0,239,"ANY"
0,215,"ANY"
0,282,"ANY"
0,744,"ANY"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,33,"ANY"
0,465,"ANY"
0,18,"M1"
0,2,"M1"
0,1,"M1"
0,20,"ANY"
0,94,"ANY"
0,51,"ANY"
0,31,"ANY"
0,16,"ANY"
0,16,"ANY"
0,465,"ANY"
0,15,"ANY"
0,8,"ANY"
0,6,"M1"
0,6,"M1"
0,6,"M1"
0,20,"ANY"
0,31,"ANY"
0,55,"ANY"
0,68,"ANY"
0,9,"M1"
0,16,"M1"
0,2451,"ANY"
1,24,"ANY"
0,63,"ANY"
0,121,"ANY"
0,48,"ANY"
0,274,"M1"
0,722,"M1"
0,90,"ANY"
0,34,"ANY"
0,33,"ANY"
0,144,"ANY"
0,32,"ANY"
0,40,"ANY"
0,51,"ANY"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,27,"ANY"
0,81,"ANY"
0,1,"M1"
0,1,"M1"
0,44,"M1"
0,16,"ANY"
0,41,"ANY"
0,1,"M1"
0,30,"ANY"
0,51,"M1"
0,51,"M1"
0,26,"M1"
0,26,"ANY"
0,7,"ANY"
0,37,"M1"
0,9,"M1"
0,10,"M1"
0,36,"M1"
0,192,"ANY"
0,4827,"ANY"
1,49,"ANY"
0,98,"ANY"
0,73,"ANY"
0,120,"ANY"
0,71,"ANY"
0,65,"ANY"
0,514,"ANY"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,1,"M1"
0,33,"ANY"
0,1,"M1"
0,1,"M1"
0,66,"M1"
0,119,"ANY"
0,325,"ANY"
0,119,"ANY"
0,1,"M1"
0,26,"ANY"
