"Class","DataMin","DataMax","Mean","Mode","Quad..Mean","Kurtosis","Std..Deviation","Skewness","Variance","X98P","X2P","X75P","X25P","Dist..Card.","Dist..Mean.","Dist..Quad..Mean.","Dist..Kur.","Dist..Std..Devi.","Dist..Skew.","Dist..Vari.","P..Min.","P..Max.","P..Mode.","P..0","P.1","P..Mean","P..Quad..Mean.","P..Kurtosis.","P..Std..Dev.","P..Skew.","P..Vari."
"M0",0,15,0.72715,0,1.22403,6.12203,0.98463,1.85529,0.9695,3,0,1,0,16,7.5,8.80341,-1.2,4.76095,0,22.66667,1e-05,0.53213,0.53213,0.53213,0.29035,0.0625,0.15494,7.45929,0.14642,2.7392,0.02144
"M0",0,5,0.31633,0,0.56248,-1.36268,0.46511,0.79147,0.21632,1,0,1,0,4,2,2.73861,1.5,2.16025,1.19034,4.66667,0,0.6837,0.6837,0.6837,0.31628,0.25,0.37666,-0.63887,0.32531,0.98028,0.10583
"M0",0,192,0.61473,0,2.68814,516.77659,2.61691,14.11969,6.84821,9,0,0,0,81,47.67901,61.32025,2.68061,38.8004,1.49231,1505.47068,0,0.86959,0.86959,0.86959,0.03596,0.01235,0.09677,80.51707,0.09658,8.96098,0.00933
"M0",0,114,8.82457,7,10.27641,13.8294,5.26612,1.88056,27.73197,22,0,11,6,72,37.19444,44.4169,0.45454,24.44865,0.66323,597.73631,2e-05,0.10461,0.10461,0.06354,0.00526,0.01389,0.03112,3.60225,0.02804,2.18045,0.00079
"M0",0,3,0.09142,0,0.34049,21.0237,0.32807,4.16806,0.10763,1,0,0,0,4,1.5,1.87083,-1.2,1.29099,0,1.66667,0.00204,0.91879,0.91879,0.91879,0.07303,0.25,0.46086,3.88912,0.44705,1.9688,0.19985
"M0",0,26,0.68354,1,0.92556,58.94788,0.62405,3.25762,0.38944,2,0,1,0,19,9.47368,11.46161,0.5617,6.62796,0.69846,43.92982,1e-05,0.59966,0.59966,0.36519,0.59966,0.05263,0.16122,9.24273,0.15656,3.10546,0.02451
"M0",0,7,0.37595,0,0.70946,3.26864,0.60166,1.64261,0.362,2,0,1,0,7,3.14286,3.8545,-0.50341,2.4103,0.36728,5.80952,2e-05,0.67933,0.67933,0.67933,0.27237,0.14286,0.2771,3.74881,0.25646,1.99521,0.06577
"M0",0,25,0.5591,1,0.77035,15.09538,0.52995,0.66621,0.28085,1,0,1,0,21,10.38095,12.36739,-0.57463,6.88822,0.35649,47.44762,0,0.53136,0.53136,0.45503,0.53136,0.04762,0.15269,7.88905,0.14865,3.00862,0.0221
"M0",0,1654,56.06639,12,101.54941,94.58075,84.69064,6.93109,7172.50453,310.46,2,67,13,254,166.4252,238.61106,29.07778,171.3285,4.18688,29353.45486,0.00051,0.03115,0.03115,0.01532,0.00051,0.00394,0.00711,5.9399,0.00594,2.50229,4e-05
"M0",0,20,0.29424,0,0.64175,17.32665,0.57033,2.62248,0.32527,2,0,1,0,11,5.90909,7.89131,4.26731,5.48552,1.79269,30.09091,1e-05,0.74993,0.74993,0.74993,0.21608,0.09091,0.23545,8.72952,0.2278,2.91661,0.05189
"M0",0,117,9.26886,3,15.09301,17.73011,11.91205,3.66855,141.89688,50,1,10,3,109,54.43119,63.22662,-1.11817,32.31768,0.06762,1044.43272,7e-05,0.2888,0.2888,0.01424,0.00672,0.00917,0.03386,52.15042,0.03274,6.72827,0.00107
