"DataMin","DataMax","Mean","Mode","Quad..Mean"
1,49,10.02857,3,12.47574
0,123,9.01964,3,15.38252
0,139,7.51428,2,10.80358
0,331,4.37375,1,8.95056
0,1,0.95378,1,0.97662
0,1,0.95378,1,0.97662
0,1,0.95378,1,0.97662
0,1,0.95378,1,0.97662
0,1,0.95378,1,0.97662
0,1,0.93127,1,0.96502
0,1,0.93127,1,0.96502
0,1,0.72187,1,0.84963
0,49,0.69072,1,1.22703
0,149,0.44299,0,2.49105
0,6,0.38145,0,0.89927
0,5,0.35628,0,0.81849
0,1,0.34237,0,0.58512
0,1,0.34237,0,0.58512
0,2,0.27435,0,0.53142
0,17,0.26961,0,0.61142
0,8,0.25834,0,0.53002
0,13,0.2553,0,0.94694
0,5,0.25136,0,0.50486
0,34,0.24217,0,1.15986
0,15,0.22568,0,0.90644
0,41,0.2078,0,1.06612
0,65,0.17929,0,1.82179
0,2,0.17522,0,0.4202
0,63,0.16702,0,0.8986
0,3729,25.93144,0,42.90105
1,63,11.66142,11,12.43993
0,241,6.13997,0,8.15558
0,1175,1.47958,2,4.37668
0,1176,1.01339,1,4.28415
0,15,0.97304,0,1.39288
0,2,0.77905,1,0.88264
0,2,0.77905,1,0.88264
0,2,0.77905,1,0.88264
0,2,0.77905,1,0.88264
0,2,0.77905,1,0.88264
0,1,0.77905,1,0.88264
0,1,0.77905,1,0.88264
0,1,0.76408,1,0.87412
0,33,0.64322,0,1.14747
0,34,0.57246,0,1.04059
0,20,0.53106,0,1.79309
0,40,0.5267,0,1.67999
0,28,0.52082,0,2.22353
0,8,0.49124,0,0.70355
0,5,0.4745,0,0.69821
0,4,0.45959,0,0.68039
0,4,0.42016,0,0.64839
0,29,0.40239,0,0.64379
0,3,0.23984,0,0.48976
0,1,0.23983,0,0.48972
0,4,0.23789,0,0.49715
0,4,0.20685,0,0.45577
0,369,0.20437,0,1.19093
0,5857,22.55307,13,45.94127
0,128,9.07734,3,13.34277
0,194,6.44715,6,7.33147
0,89,2.64102,1,3.4877
0,44,1.12807,0,1.92201
0,98,1.00864,1,1.19089
0,1,0.98814,1,0.99405
0,1,0.98814,1,0.99405
0,1,0.98814,1,0.99405
0,1,0.98814,1,0.99405
0,1,0.98814,1,0.99405
0,1,0.98814,1,0.99405
0,1,0.98814,1,0.99405
0,43,0.9696,0,1.66174
0,1,0.96911,1,0.98443
0,1,0.9691,1,0.98443
0,1,0.89229,1,0.94461
0,9,0.81932,1,0.93195
0,9,0.81856,1,0.93071
0,20,0.6002,1,0.80695
0,7,0.49535,0,0.70786
0,1,0.49275,0,0.70196
0,5,0.47421,0,0.9294
0,1,0.37204,0,0.60995
0,1,0.37202,0,0.60994
0,9,0.35829,0,0.59871
0,7,0.35827,0,0.59866
0,5,0.35048,0,0.59342
0,4,0.34869,0,0.59351
0,4,0.33198,0,0.66783
0,4,0.31633,0,0.56247
0,6,0.29552,0,0.54407
0,1946,40.10778,13,68.72036
2,63,11.20979,5,12.52323
0,127,5.64381,3,8.8984
0,239,5.55994,4,7.38856
0,282,3.68103,1,7.62499
0,744,2.93538,1,7.33042
0,1,0.98037,1,0.99014
0,1,0.98037,1,0.99014
0,1,0.98037,1,0.99014
0,1,0.98037,1,0.99014
0,1,0.98037,1,0.99014
0,1,0.98037,1,0.99014
0,33,0.62857,0,0.99
0,465,0.61544,0,2.58469
0,18,0.53363,1,0.76586
0,1,0.34964,0,0.5913
0,20,0.29424,0,0.64175
0,94,0.26485,0,1.5273
0,51,0.24558,0,1.13775
0,31,0.23744,0,0.52465
0,16,0.23049,0,0.89052
0,16,0.22399,0,0.87025
0,465,0.2172,0,2.16269
0,8,0.21441,0,0.55625
0,6,0.2066,0,0.45672
0,6,0.20659,0,0.45668
0,6,0.20532,0,0.45572
0,20,0.19416,0,0.49271
0,31,0.18207,0,0.6393
0,68,0.16322,0,0.5349
0,9,0.1556,0,0.5869
0,16,0.15255,0,0.41446
1,24,9.42202,9,9.53152
0,63,5.92946,4,7.04537
0,121,4.48692,3,5.94439
